==21021== NVPROF is profiling process 21021, command: ./automata-cuda sandsim
==21021== Profiling application: ./automata-cuda sandsim
==21021== Profiling result:
   Start  Duration  Name
184.64ms  10.551us  cuDeviceGetPCIBusId
198.03ms  3.0170us  cuDeviceGetCount
198.04ms     165ns  cuDeviceGetCount
198.26ms     971ns  cuDeviceGet
198.26ms     907ns  cuDeviceGetAttribute
198.27ms     193ns  cuDeviceGetAttribute
198.27ms     406ns  cuDeviceGetAttribute
198.30ms     220ns  cuDeviceGetCount
198.30ms     143ns  cuDeviceGet
198.31ms  61.880us  cuDeviceGetName
198.37ms     591ns  cuDeviceTotalMem
198.37ms     344ns  cuDeviceGetAttribute
198.37ms     155ns  cuDeviceGetAttribute
198.37ms     268ns  cuDeviceGetAttribute
198.38ms     153ns  cuDeviceGetAttribute
198.38ms     156ns  cuDeviceGetAttribute
198.38ms  19.121us  cuDeviceGetAttribute
198.40ms     255ns  cuDeviceGetAttribute
198.40ms     148ns  cuDeviceGetAttribute
198.40ms     156ns  cuDeviceGetAttribute
198.40ms     149ns  cuDeviceGetAttribute
198.40ms     395ns  cuDeviceGetAttribute
198.40ms     142ns  cuDeviceGetAttribute
198.40ms     140ns  cuDeviceGetAttribute
198.40ms     141ns  cuDeviceGetAttribute
198.40ms     145ns  cuDeviceGetAttribute
198.40ms     144ns  cuDeviceGetAttribute
198.40ms     156ns  cuDeviceGetAttribute
198.40ms     145ns  cuDeviceGetAttribute
198.40ms     148ns  cuDeviceGetAttribute
198.40ms     144ns  cuDeviceGetAttribute
198.40ms     143ns  cuDeviceGetAttribute
198.40ms     139ns  cuDeviceGetAttribute
198.40ms     143ns  cuDeviceGetAttribute
198.40ms     141ns  cuDeviceGetAttribute
198.40ms     149ns  cuDeviceGetAttribute
198.40ms     139ns  cuDeviceGetAttribute
198.40ms     149ns  cuDeviceGetAttribute
198.40ms     147ns  cuDeviceGetAttribute
198.40ms     144ns  cuDeviceGetAttribute
198.40ms     142ns  cuDeviceGetAttribute
198.40ms     144ns  cuDeviceGetAttribute
198.40ms     144ns  cuDeviceGetAttribute
198.40ms     144ns  cuDeviceGetAttribute
198.40ms     148ns  cuDeviceGetAttribute
198.40ms     143ns  cuDeviceGetAttribute
198.41ms     146ns  cuDeviceGetAttribute
198.41ms     142ns  cuDeviceGetAttribute
198.41ms     143ns  cuDeviceGetAttribute
198.41ms     142ns  cuDeviceGetAttribute
198.41ms     141ns  cuDeviceGetAttribute
198.41ms     142ns  cuDeviceGetAttribute
198.41ms     141ns  cuDeviceGetAttribute
198.41ms     140ns  cuDeviceGetAttribute
198.41ms     140ns  cuDeviceGetAttribute
198.41ms     149ns  cuDeviceGetAttribute
198.41ms     157ns  cuDeviceGetAttribute
198.41ms     141ns  cuDeviceGetAttribute
198.41ms     143ns  cuDeviceGetAttribute
198.41ms     140ns  cuDeviceGetAttribute
198.41ms     146ns  cuDeviceGetAttribute
198.41ms     142ns  cuDeviceGetAttribute
198.41ms     140ns  cuDeviceGetAttribute
198.41ms     142ns  cuDeviceGetAttribute
198.41ms     146ns  cuDeviceGetAttribute
198.41ms     143ns  cuDeviceGetAttribute
198.41ms  76.107us  cuDeviceGetAttribute
198.49ms     174ns  cuDeviceGetAttribute
198.49ms     151ns  cuDeviceGetAttribute
198.49ms     146ns  cuDeviceGetAttribute
198.49ms     150ns  cuDeviceGetAttribute
198.49ms     151ns  cuDeviceGetAttribute
198.49ms     148ns  cuDeviceGetAttribute
198.49ms     183ns  cuDeviceGetAttribute
198.49ms     156ns  cuDeviceGetAttribute
198.49ms     144ns  cuDeviceGetAttribute
198.49ms     140ns  cuDeviceGetAttribute
198.49ms     160ns  cuDeviceGetAttribute
198.49ms     142ns  cuDeviceGetAttribute
198.49ms     151ns  cuDeviceGetAttribute
198.49ms     143ns  cuDeviceGetAttribute
198.49ms     141ns  cuDeviceGetAttribute
198.49ms     143ns  cuDeviceGetAttribute
198.49ms     233ns  cuDeviceGetAttribute
198.49ms     149ns  cuDeviceGetAttribute
198.49ms     145ns  cuDeviceGetAttribute
198.49ms     144ns  cuDeviceGetAttribute
198.49ms  58.531us  cuDeviceGetAttribute
198.55ms     167ns  cuDeviceGetAttribute
198.55ms     219ns  cuDeviceGetAttribute
198.55ms     149ns  cuDeviceGetAttribute
198.55ms     148ns  cuDeviceGetAttribute
198.55ms     150ns  cuDeviceGetAttribute
198.56ms     146ns  cuDeviceGetAttribute
198.56ms     150ns  cuDeviceGetAttribute
198.56ms     743ns  cuDeviceGetAttribute
198.56ms     168ns  cuDeviceGetAttribute
198.56ms     146ns  cuDeviceGetAttribute
198.56ms     146ns  cuDeviceGetAttribute
198.56ms     704ns  cuDeviceGetAttribute
198.56ms     144ns  cuDeviceGetAttribute
198.56ms     274ns  cuDeviceGetAttribute
198.56ms     131ns  cuDeviceGetAttribute
198.56ms     157ns  cuDeviceGetAttribute
198.56ms     142ns  cuDeviceGetAttribute
198.56ms     261ns  cuDeviceGetUuid
198.56ms  137.04ms  cudaMalloc
335.60ms  3.9320us  cudaMalloc
335.61ms  92.537us  cudaMalloc
335.70ms  70.732us  cudaMemcpy
335.77ms  149.12us  cudaMemcpy
352.76ms  631.46us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [112])
353.39ms  8.2870us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [113])
353.40ms  111.11ms  cudaMemcpyAsync
482.52ms  39.998us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [115])
482.56ms  6.7220us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [116])
482.57ms  109.51ms  cudaMemcpyAsync
607.71ms  38.391us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [118])
607.75ms  6.0890us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [119])
607.75ms  109.49ms  cudaMemcpyAsync
733.05ms  48.299us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [121])
733.10ms  6.7190us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [122])
733.10ms  109.43ms  cudaMemcpyAsync
860.65ms  41.416us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [124])
860.69ms  6.7390us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [125])
860.69ms  105.30ms  cudaMemcpyAsync
982.35ms  38.634us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [127])
982.39ms  6.9400us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [128])
982.40ms  105.60ms  cudaMemcpyAsync
1.10396s  47.486us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [130])
1.10400s  8.8570us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [131])
1.10401s  110.19ms  cudaMemcpyAsync
1.22975s  39.140us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [133])
1.22979s  6.6020us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [134])
1.22979s  106.76ms  cudaMemcpyAsync
1.35132s  38.377us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [136])
1.35136s  6.4710us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [137])
1.35137s  108.80ms  cudaMemcpyAsync
1.47506s  38.851us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [139])
1.47510s  6.6130us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [140])
1.47511s  107.53ms  cudaMemcpyAsync
1.59772s  39.727us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [142])
1.59776s  6.7510us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [143])
1.59777s  107.52ms  cudaMemcpyAsync
1.72003s  37.004us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [145])
1.72007s  6.1230us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [146])
1.72008s  108.33ms  cudaMemcpyAsync
1.84463s  48.224us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [148])
1.84468s  7.7070us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [149])
1.84469s  107.58ms  cudaMemcpyAsync
1.96780s  43.549us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [151])
1.96784s  7.2360us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [152])
1.96785s  109.45ms  cudaMemcpyAsync
2.09225s  38.352us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [154])
2.09229s  6.0880us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [155])
2.09230s  107.46ms  cudaMemcpyAsync
2.21469s  36.794us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [157])
2.21472s  6.3390us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [158])
2.21473s  107.75ms  cudaMemcpyAsync
